,Country Name,Percent Safe Water,Year
0,United States,98.9423321117692,2005
1,United States,98.94710337635401,2006
2,United States,98.95185189605341,2007
3,United States,98.95656884049549,2008
4,United States,98.96125765989478,2009
5,United States,98.9658869554494,2010
6,United States,98.970687390534,2011
7,United States,98.97557171560591,2012
8,United States,98.9805980161442,2013
9,United States,98.9857309470258,2014
10,United States,98.9909778979207,2015
11,United States,98.99630997602881,2016
12,United States,99.0017779137847,2017
