,Country Name,Average Age,Year
0,United States,76.83658536585371,2001
1,United States,76.9365853658537,2002
2,United States,77.0365853658537,2003
3,United States,77.4878048780488,2004
4,United States,77.4878048780488,2005
5,United States,77.6878048780488,2006
6,United States,77.9878048780488,2007
7,United States,78.0390243902439,2008
8,United States,78.390243902439,2009
9,United States,78.5414634146342,2010
10,United States,78.64146341463409,2011
11,United States,78.7414634146342,2012
12,United States,78.7414634146342,2013
13,United States,78.84146341463409,2014
14,United States,78.69024390243901,2015
15,United States,78.5390243902439,2016
16,United States,78.5390243902439,2017
